C/R,Product,Application,DTS #,Description,Status (6.07),Pri,Ass'd DTSs,Releases,PP Pack,Programs,Date Checked,6.07 Chg #,Due Date,To Be Shipped (6.07),Shipping Test,Shipping Live,LSS,CCD,MU2,Resp App,Comments
,CS,ABS,3741,INFCE: Populate Group Text and Coding System Name in DRG|1.1.2 and DRG|1.1.3,Completed,3,,"6.0C, 6.07C",5,ABS.PAT.xo.format.hl7.comp,8/11/2014,ABS 545,1/7/2014,,Y,Y,,,,,
R,CS,ADM,6257,INFCE: Cancel SCH does not generate a message to OV,Completed,4,,"6.0C, 6.05C, 6.06C, 6.07C",0,"ADM.PAT.xo.format.hl7.comp, ADM.PAT.xo.format.hl722, ADM.PAT.xo.format.hl722.cm, ADM.PAT.xo.format.hl722.mtltc, ADM.PAT.xo.format.hl722.ptct",8/11/2014,ADM 33,11/10/2010,,Y,Y,,,,,
,CS,ADM,6322,INFCE: I10 ABS Diag Coding Method being incorreclty sent in HL7 messages,Completed,3,,"6.0C, 6.06C, 6.07C",1,"ADM.PAT.xo.format.hl7.comp, ADM.PAT.xo.format.hl7.insync, ADM.PAT.xo.format.hl7.maestro",8/11/2014,ADM 700,8/23/2010,,Y,Y,,,,,
,CS,ADM,6326,INFCE: Read in religion from PID|17 for ADT inbound interface,Completed,4,Y,"6.0C, 6.06C, 6.07C",1,ADM.PAT.xi.file.hl7.comp,8/11/2014,ADM 626,12/22/2010,,Y,Y,,,,,
,CS,ADM,6427,INFCE - Grouper Version not set up in DG1 Segment,Completed,4,,"6.0C, 6.05C, 6.06C, 6.07C",0,"ADM.PAT.xo.format.hl7.comp, ADM.PAT.xo.format.hl7.insync, ADM.PAT.xo.format.hl7.lss, ADM.PAT.xo.format.hl7.maestro",8/11/2014,ADM 55,3/8/2011,,Y,Y,Y,,,,
,CS,ADM,6462,(Inbound ADT) PCP incorrectly updated from ROL Segment,Completed,3,,"6.0C, 6.05C, 6.06C, 6.07C",0,ADM.PAT.xi.file.hl7.comp,8/11/2014,ADM 69,12/3/2010,,Y,Y,,,,,
,CS,ADM,6464,Outbound ADT interface not building ACC segment for US Facility,Completed,4,Y,"6.0C, 6.05C, 6.06C, 6.07C",0,ADM.PAT.xo.format.hl7.comp,8/11/2014,ADM 70,3/30/2011,,Y,Y,,,,,
,CS,ADM,6615,"INFCE: Queries can be added to OBX incorrectly, causing a crash.",Completed,3,,"6.0C, 6.06C, 6.07C",3,"ADM.PAT.xo.format.hl7.comp, ADM.PAT.xo.format.hl7.maestro",8/11/2014,ADM 874,2/7/2011,,Y,Y,,,,,
,CS,ADM,6651,INFCE: Not properly FAIL-READing when ADM.PAT.next.urn does not return a urn,Completed,5,Y,"6.0C, 6.07C",0,"ADM.PAT.xi.file.hl7.comp, ADM.PAT.xi.file.hl7.insync, ADM.PAT.xi.file.hl7.maestro",8/11/2014,ADM 153,12/25/2011,,Y,Y,,,,,
,CS,ADM,6694,A04 messages do not contain employer location on IN1.44.3 segment,Completed,4,,"6.0C, 6.05C, 6.06C, 6.07C, 6.1C, 6.12C, 6.13C",0,ADM.PAT.xo.format.hl7.lss,8/11/2014,ADM 176,7/27/2011,,Y,Y,Y,,,,
,CS,ADM,6866,Queries cannot be read from OBX|3,Rejected,3,,"6.0R, 6.05R, 6.07R, 6.1R, 6.13R",,,8/11/2014,,,,,,,,,,
,CS,ADM,6901,INFCE: Mult Acct Structures created if PtCT Insync re-sends Msg Incorrectly,Rejected,3,,"6.0R, 6.05R, 6.07R",,,8/11/2014,,,,,,,,,,
,CS,ADM,6902,Inbound ADT Bed Swap events are removing the patients' Accommodation Codes,Completed,3,,"6.0C, 6.07C",3,ADM.PAT.xi.file.hl7.comp,8/11/2014,ADM 876,7/12/2011,,Y,Y,,,,,
R,CS,ADM,6936,INFCE: Enhance performance by suppressing events at ADM Driver Level,Completed,3,,"6.0C, 6.05C, 6.06C, 6.07C",0,ADM.PAT.xo.driver,8/11/2014,ADM 292,8/1/2011,,Y,Y,,,,,
R,CS,ADM,6953,INFCE: CCD CONSUMER: XDS Request not sending correct assigning authority OID,Completed,3,Y,"6.0C, 6.05C, 6.06C, 6.07C",0,"ADM.PAT.xi.file.hl7.v3.ehr, ADM.PAT.xo.driver.ehr",8/11/2014,ADM 298,8/15/2011,,Y,Y,,Y,,,
C,CS,ADM,6980,Infce: PV1 & PID segments contain blank/invalid values for MERGEI/UNMERGEI,Completed,3,,"6.0C, 6.05C, 6.06C, 6.07C",0,ADM.PAT.xo.format.hl7.comp,8/11/2014,ADM 316,9/3/2011,,Y,Y,,,,,
C,CS,ADM,6984,ADM INFCE: Temp files left behind if message fails to initialize,Completed,3,,"6.0C, 6.05C, 6.06C, 6.07C",0,ADM.PAT.xo.driver,8/11/2014,ADM 319,9/5/2011,,Y,Y,,,,,
C,CS,ADM,7059,ADM: EVN.2 may display invalid date/time for outbound ADT,Completed,3,,"6.0C, 6.05C, 6.06C, 6.07C",0,ADM.PAT.xo.format.hl7.comp,8/11/2014,ADM 360,1/17/2012,,Y,Y,,,,,
,CS,ADM,7070,INFCE: Visit History Migration - Discharge Date for RCR Patients not Filing,Completed,3,,"6.0C, 6.05C, 6.06C, 6.07C",0,ADM.PAT.xi.file.hl7.comp.him.visit,8/11/2014,ADM 364,10/21/2011,,Y,Y,,,,,
,CS,ADM,7073,INFCE: Send Admit Diagnosis for ER Patients in DG1 Segment,Completed,3,Y,"6.0C, 6.05C, 6.06C, 6.07C",0,"ADM.PAT.xo.format.hl7.comp, ADM.PAT.xo.format.hl7.insync, ADM.PAT.xo.format.hl7.maestro",8/11/2014,ADM 365,10/21/2011,,Y,Y,,,,,
R,CS,ADM,7132,MAGIC Migration: ADM and MRI urns should not contain prefixes for DOT facility,Completed,3,,"6.0C, 6.05C, 6.06C, 6.07C",0,"ADM.PAT.xi.file.hl7.comp.him.visit, ADM.PAT.xi.file.hl7.comp.ini.load",8/11/2014,ADM 393,12/3/2011,,Y,Y,,,,,
R,CS,ADM,7160,INFCE: Home Care update messages inbound can overwrite MRI Demo Recall info,Completed,3,,"6.0C, 6.05C, 6.06C, 6.07C",0,ADM.PAT.xi.file.hl7.maestro,8/11/2014,ADM 398,1/14/2012,,Y,Y,,,,,
,CS,ADM,7180,INFCE: @ADM.PAT.admit.priority overwritten when PV1|4 is nil,Completed,3,,"6.0C, 6.05C, 6.06C, 6.07C",0,ADM.PAT.xi.file.hl7.comp,8/11/2014,ADM 408,1/14/2012,,Y,Y,,,,,
,CS,ADM,7181,INFCE: Limit the admit/service/discharge times to 4 digits,Completed,3,,"6.0C, 6.05C, 6.06C, 6.07C",0,ADM.PAT.xi.file.hl7.comp,8/11/2014,ADM 409,1/14/2012,,Y,Y,,,,,
C,CS,ADM,7194,INFCE: Wrong patient's MRN can be sent in the message,Completed,1,,"6.0C, 6.05C, 6.06C, 6.07C",0,ADM.PAT.xo.driver,8/11/2014,ADM 414,11/11/2011,,Y,Y,,,,,
C,CS,ADM,7223,INFCE: Resolve issues ADM formatter/driver issues associated with CS ADM 6921,Completed,3,,"6.0C, 6.05C, 6.06C, 6.07C",0,"ADM.PAT.xo.driver, ADM.PAT.xo.format.hl7.comp",8/11/2014,ADM 428,1/30/2012,,Y,Y,,,,,
,CS,ADM,7251,INFCE - ER Doctor is not filing correctly for discharge events,Completed,3,,"6.0C, 6.07C",3,ADM.PAT.xi.file.hl7.comp,8/11/2014,ADM 877,2/17/2012,,Y,Y,,,,,
,CS,ADM,7255,INFCE: MIGRATE_IC Filer does not File Consulting Providers into ADM,Completed,3,,"6.0C, 6.07C",4,ADM.PAT.xi.file.hl7.comp.ini.load,8/11/2014,ADM 938,2/17/2012,,Y,Y,,,,,
,CS,ADM,7276,INSYNC ADM filer crashes Medical Record - mismatch error,Completed,3,,"6.0C, 6.05C, 6.06C, 6.07C",0,ADM.PAT.xi.file.hl7.insync,8/11/2014,ADM 444,2/28/2012,,Y,Y,,,,,
,CS,ADM,7293,INFCE - Trouble filtering messages by Account Number in IntMan,Completed,3,,"6.0C, 6.05C, 6.06C, 6.07C",0,ADM.PAT.xo.driver,8/11/2014,ADM 452,3/11/2012,,Y,Y,,,,,
R,CS,ADM,7298,Infce: Home Care Insync messages inbound can overwrite MRI Demo Recall info,Completed,3,,"6.0C, 6.05C, 6.06C, 6.07C",0,ADM.PAT.xi.file.hl7.insync,8/11/2014,ADM 455,3/11/2012,,Y,Y,,,,,
C,CS,ADM,7318,INFCE: SWAPADMIN A17 Message had Same EMR ID for Two Different Patients,Completed,3,,"6.0C, 6.05C, 6.06C, 6.07C",0,ADM.PAT.xo.format.hl7.comp,8/11/2014,ADM 462,3/25/2012,,Y,Y,,,,,
,CS,ADM,7328,INFCE: Inbound ADM msgs - Invalid Dates and Times can be sent by OV,Completed,3,,"6.0C, 6.07C",3,ADM.PAT.xi.file.hl7.comp,8/11/2014,ADM 878,3/27/2012,,Y,Y,,,,,
,CS,ADM,7334,Infce: XO driver removes entire retry queue for patient after 1st success.,Completed,3,,"6.0C, 6.06C, 6.07C",0,ADM.PAT.xo.driver,8/11/2014,ADM 469,4/1/2012,,Y,Y,,,,,
